Date;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;HTh;HTa;FG;sample
29. Feb;Pisa;Perugia;1;0;Home win;-;-;-;1;-;+;-;0;0;L;1
29. Feb;Venezia;Cosenza;1;1;Draw;+;-;-;2;+;-;-;1;0;L;1
1 Mar;Pescara;Ascoli;2;1;Home win;+;+;-;3;+;-;-;1;1;L;1
3 Mar;Cosenza;Cittadella;1;2;Away win;+;+;-;3;+;-;-;0;0;V;1
3 Mar;Cremonese;Empoli;2;3;Away win;+;+;+;5;+;-;-;2;2;L;1
3 Mar;Crotone;Pisa;1;0;Home win;-;-;-;1;-;+;-;0;0;L;1
3 Mar;Livorno;Frosinone;2;2;Draw;+;+;+;4;+;-;-;1;1;L;1
3 Mar;Perugia;Benevento;1;2;Away win;+;+;-;3;+;-;-;0;1;V;1
3 Mar;Pordenone;Juve Stabia;2;1;Home win;+;+;-;3;+;-;-;1;0;L;1
3 Mar;Salernitana;Venezia;2;0;Home win;+;-;-;2;-;+;-;1;0;L;1
3 Mar;Trapani;Virtus Entella;4;1;Home win;+;+;+;5;+;-;-;0;1;V;1
4 Mar;Ascoli;Chievo;1;1;Draw;+;-;-;2;+;-;-;0;1;V;1
4 Mar;Spezia;Pescara;2;0;Home win;+;-;-;2;-;+;-;0;0;L;1
7 Mar;Cittadella;Pordenone;0;2;Away win;+;-;-;2;-;-;+;0;1;V;1
7 Mar;Empoli;Trapani;1;1;Draw;+;-;-;2;+;-;-;0;1;V;1
7 Mar;Frosinone;Cremonese;0;2;Away win;+;-;-;2;-;-;+;0;1;V;1
7 Mar;Perugia;Salernitana;1;0;Home win;-;-;-;1;-;+;-;1;0;L;1
7 Mar;Pisa;Livorno;1;0;Home win;-;-;-;1;-;+;-;0;0;L;1
7 Mar;Venezia;Crotone;1;3;Away win;+;+;+;4;+;-;-;0;2;V;1
8 Mar;Benevento;Pescara;4;0;Home win;+;+;+;4;-;+;-;3;0;L;1
8 Mar;Juve Stabia;Spezia;3;1;Home win;+;+;+;4;+;-;-;1;0;L;1
8 Mar;Virtus Entella;Ascoli;3;0;Home win;+;+;-;3;-;+;-;3;0;L;1
9 Mar;Chievo;Cosenza;2;0;Home win;+;-;-;2;-;+;-;1;0;L;1
17. Jun;Ascoli;Cremonese;1;3;Away win;+;+;+;4;+;-;-;1;2;V;1
19. Jun;Spezia;Empoli;1;0;Home win;-;-;-;1;-;+;-;0;0;L;1
20. Jun;Cosenza;Virtus Entella;2;1;Home win;+;+;-;3;+;-;-;2;0;L;1
20. Jun;Crotone;Chievo;1;1;Draw;+;-;-;2;+;-;-;1;0;L;1
20. Jun;Livorno;Cittadella;0;2;Away win;+;-;-;2;-;-;+;0;0;V;1
20. Jun;Pescara;Juve Stabia;3;1;Home win;+;+;+;4;+;-;-;0;0;L;1
20. Jun;Pordenone;Venezia;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
20. Jun;Salernitana;Pisa;1;1;Draw;+;-;-;2;+;-;-;1;0;L;1
20. Jun;Trapani;Frosinone;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
21. Jun;Ascoli;Perugia;0;1;Away win;-;-;-;1;-;-;+;0;0;V;1
21. Jun;Cremonese;Benevento;0;1;Away win;-;-;-;1;-;-;+;0;0;V;1
26. Jun;Chievo;Spezia;1;3;Away win;+;+;+;4;+;-;-;0;0;L;1
26. Jun;Cremonese;Cosenza;0;2;Away win;+;-;-;2;-;-;+;0;1;V;1
26. Jun;Empoli;Benevento;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
26. Jun;Frosinone;Cittadella;0;2;Away win;+;-;-;2;-;-;+;0;1;V;1
26. Jun;Juve Stabia;Livorno;2;3;Away win;+;+;+;5;+;-;-;1;0;L;1
26. Jun;Perugia;Crotone;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
26. Jun;Pisa;Pescara;2;1;Home win;+;+;-;3;+;-;-;1;0;L;1
26. Jun;Trapani;Pordenone;3;0;Home win;+;+;-;3;-;+;-;1;0;L;1
26. Jun;Venezia;Ascoli;2;1;Home win;+;+;-;3;+;-;-;1;1;L;1
26. Jun;Virtus Entella;Salernitana;1;0;Home win;-;-;-;1;-;+;-;0;0;L;1
29. Jun;Ascoli;Crotone;1;1;Draw;+;-;-;2;+;-;-;0;0;V;1
29. Jun;Benevento;Juve Stabia;1;0;Home win;-;-;-;1;-;+;-;0;0;L;1
29. Jun;Chievo;Frosinone;2;0;Home win;+;-;-;2;-;+;-;0;0;L;1
29. Jun;Cittadella;Perugia;2;0;Home win;+;-;-;2;-;+;-;1;0;L;1
29. Jun;Cosenza;Trapani;2;2;Draw;+;+;+;4;+;-;-;1;2;V;1
29. Jun;Livorno;Venezia;0;2;Away win;+;-;-;2;-;-;+;0;2;V;1
29. Jun;Pescara;Empoli;1;1;Draw;+;-;-;2;+;-;-;0;0;V;1
29. Jun;Pordenone;Virtus Entella;2;0;Home win;+;-;-;2;-;+;-;0;0;L;1
29. Jun;Salernitana;Cremonese;3;3;Draw;+;+;+;6;+;-;-;0;1;V;1
29. Jun;Spezia;Pisa;1;2;Away win;+;+;-;3;+;-;-;1;1;L;1
03. Jul;Cosenza;Ascoli;0;1;Away win;-;-;-;1;-;-;+;0;0;V;1
03. Jul;Cremonese;Pescara;1;0;Home win;-;-;-;1;-;+;-;1;0;L;1
03. Jul;Crotone;Benevento;3;0;Home win;+;+;-;3;-;+;-;2;0;L;1
03. Jul;Frosinone;Spezia;2;1;Home win;+;+;-;3;+;-;-;1;0;L;1
03. Jul;Perugia;Pordenone;1;2;Away win;+;+;-;3;+;-;-;1;2;V;1
03. Jul;Pisa;Cittadella;2;0;Home win;+;-;-;2;-;+;-;1;0;L;1
03. Jul;Salernitana;Juve Stabia;2;1;Home win;+;+;-;3;+;-;-;1;0;L;1
03. Jul;Trapani;Livorno;2;1;Home win;+;+;-;3;+;-;-;0;0;V;1
03. Jul;Venezia;Empoli;0;2;Away win;+;-;-;2;-;-;+;0;0;V;1
03. Jul;Virtus Entella;Chievo;1;1;Draw;+;-;-;2;+;-;-;1;0;L;1
10. Jul;Ascoli;Salernitana;3;2;Home win;+;+;+;5;+;-;-;2;0;L;1
