Date;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;HTh;HTa;FG;sample
09. Feb;Chemnitzer;Hallescher FC;3;0;Home win;+;+;-;3;-;+;-;0;0;L;0
09. Feb;Wurzburger K.;FC Ingolstadt;3;1;Home win;+;+;+;4;+;-;-;0;1;V;0
10. Feb;Carl Zeiss Jena;Zwickau;2;1;Home win;+;+;-;3;+;-;-;0;1;V;0
14. Feb;Pr. Munster;Wurzburger K.;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
15. Feb;Braunschweig;Kaiserslautern;2;0;Home win;+;-;-;2;-;+;-;2;0;L;0
15. Feb;FC Ingolstadt;KFC Uerdingen;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
15. Feb;Magdeburg;Chemnitzer;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
15. Feb;Meppen;1860 Munchen;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
15. Feb;Sonnenhof;Hansa Rostock;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
15. Feb;Unterhaching;Viktoria Koln;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
16. Feb;Mannheim;Carl Zeiss Jena;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
16. Feb;Zwickau;MSV Duisburg;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
17. Feb;Bayern Munich B;Hallescher FC;6;1;Home win;+;+;+;7;+;-;-;2;1;L;0
21. Feb;Viktoria Koln;Sonnenhof;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
22. Feb;Carl Zeiss Jena;Meppen;0;2;Away win;+;-;-;2;-;-;+;0;1;V;0
22. Feb;Hansa Rostock;FC Ingolstadt;3;0;Home win;+;+;-;3;-;+;-;2;0;L;0
22. Feb;Kaiserslautern;Zwickau;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
22. Feb;KFC Uerdingen;Pr. Munster;0;2;Away win;+;-;-;2;-;-;+;0;1;V;0
22. Feb;MSV Duisburg;Mannheim;2;3;Away win;+;+;+;5;+;-;-;2;0;L;0
22. Feb;Wurzburger K.;Braunschweig;3;1;Home win;+;+;+;4;+;-;-;2;0;L;0
23. Feb;1860 Munchen;Magdeburg;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
23. Feb;Hallescher FC;Unterhaching;3;5;Away win;+;+;+;8;+;-;-;1;2;V;0
24. Feb;Chemnitzer;Bayern Munich B;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
28. Feb;Unterhaching;Bayern Munich B;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
29. Feb;1860 Munchen;Chemnitzer;4;3;Home win;+;+;+;7;+;-;-;1;2;V;0
29. Feb;Braunschweig;KFC Uerdingen;4;1;Home win;+;+;+;5;+;-;-;3;0;L;0
29. Feb;Magdeburg;Carl Zeiss Jena;6;2;Home win;+;+;+;8;+;-;-;2;1;V;0
29. Feb;Mannheim;Kaiserslautern;1;1;Draw;+;-;-;2;+;-;-;0;0;V;0
29. Feb;Sonnenhof;Hallescher FC;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
29. Feb;Zwickau;Wurzburger K.;1;2;Away win;+;+;-;3;+;-;-;1;0;L;0
1 Mar;FC Ingolstadt;Viktoria Koln;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
1 Mar;Meppen;MSV Duisburg;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
2 Mar;Pr. Munster;Hansa Rostock;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
6 Mar;MSV Duisburg;Magdeburg;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
7 Mar;Bayern Munich B;Sonnenhof;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
7 Mar;Carl Zeiss Jena;1860 Munchen;0;3;Away win;+;+;-;3;-;-;+;0;2;V;0
7 Mar;Chemnitzer;Unterhaching;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
7 Mar;Kaiserslautern;Meppen;3;3;Draw;+;+;+;6;+;-;-;1;1;L;0
7 Mar;Viktoria Koln;Pr. Munster;2;1;Home win;+;+;-;3;+;-;-;0;0;V;0
7 Mar;Wurzburger K.;Mannheim;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
8 Mar;Hallescher FC;FC Ingolstadt;1;1;Draw;+;-;-;2;+;-;-;0;0;V;0
8 Mar;KFC Uerdingen;Zwickau;4;2;Home win;+;+;+;6;+;-;-;2;1;V;0
9 Mar;Hansa Rostock;Braunschweig;3;0;Home win;+;+;-;3;-;+;-;2;0;L;0
30 May;Braunschweig;Viktoria Koln;4;2;Home win;+;+;+;6;+;-;-;2;1;V;1
30 May;FC Ingolstadt;Bayern Munich B;1;2;Away win;+;+;-;3;+;-;-;1;1;V;1
30 May;Magdeburg;Kaiserslautern;0;1;Away win;-;-;-;1;-;-;+;0;1;V;1
30 May;Mannheim;KFC Uerdingen;1;2;Away win;+;+;-;3;+;-;-;0;1;V;1
30 May;Meppen;Wurzburger K.;1;3;Away win;+;+;+;4;+;-;-;0;0;V;1
30 May;Sonnenhof;Unterhaching;0;2;Away win;+;-;-;2;-;-;+;0;1;V;1
30 May;Zwickau;Hansa Rostock;2;2;Draw;+;+;+;4;+;-;-;0;2;V;1
31 May;1860 Munchen;MSV Duisburg;3;2;Home win;+;+;+;5;+;-;-;0;1;V;1
31 May;Carl Zeiss Jena;Chemnitzer;0;1;Away win;-;-;-;1;-;-;+;0;0;V;1
31 May;Pr. Munster;Hallescher FC;4;2;Home win;+;+;+;6;+;-;-;3;0;L;1
02. Jun;Hansa Rostock;Mannheim;0;1;Away win;-;-;-;1;-;-;+;0;0;V;1
02. Jun;KFC Uerdingen;Meppen;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
02. Jun;Unterhaching;FC Ingolstadt;1;2;Away win;+;+;-;3;+;-;-;1;1;L;1
02. Jun;Viktoria Koln;Zwickau;3;0;Home win;+;+;-;3;-;+;-;0;0;L;1
02. Jun;Wurzburger K.;Magdeburg;0;1;Away win;-;-;-;1;-;-;+;0;1;V;1
03. Jun;Bayern Munich B;Pr. Munster;3;2;Home win;+;+;+;5;+;-;-;2;2;V;1
03. Jun;Chemnitzer;Sonnenhof;0;1;Away win;-;-;-;1;-;-;+;0;0;V;1
03. Jun;Hallescher FC;Braunschweig;0;1;Away win;-;-;-;1;-;-;+;0;1;V;1
03. Jun;Kaiserslautern;1860 Munchen;1;1;Draw;+;-;-;2;+;-;-;1;1;L;1
03. Jun;MSV Duisburg;Carl Zeiss Jena;1;1;Draw;+;-;-;2;+;-;-;1;0;L;1
05. Jun;Magdeburg;KFC Uerdingen;1;1;Draw;+;-;-;2;+;-;-;0;1;V;1
06. Jun;1860 Munchen;Wurzburger K.;1;2;Away win;+;+;-;3;+;-;-;0;1;V;1
06. Jun;Braunschweig;Bayern Munich B;1;1;Draw;+;-;-;2;+;-;-;1;1;V;1
06. Jun;Mannheim;Viktoria Koln;2;1;Home win;+;+;-;3;+;-;-;0;1;V;1
06. Jun;Meppen;Hansa Rostock;0;3;Away win;+;+;-;3;-;-;+;0;2;V;1
06. Jun;MSV Duisburg;Chemnitzer;2;1;Home win;+;+;-;3;+;-;-;1;0;L;1
06. Jun;Zwickau;Hallescher FC;5;1;Home win;+;+;+;6;+;-;-;1;0;L;1
07. Jun;Carl Zeiss Jena;Kaiserslautern;1;2;Away win;+;+;-;3;+;-;-;0;2;V;1
07. Jun;FC Ingolstadt;Sonnenhof;1;1;Draw;+;-;-;2;+;-;-;1;1;V;1
07. Jun;Pr. Munster;Unterhaching;2;1;Home win;+;+;-;3;+;-;-;2;0;L;1
09. Jun;Bayern Munich B;Zwickau;2;0;Home win;+;-;-;2;-;+;-;0;0;L;1
09. Jun;Hallescher FC;Mannheim;3;0;Home win;+;+;-;3;-;+;-;1;0;L;1
09. Jun;Hansa Rostock;Magdeburg;3;1;Home win;+;+;+;4;+;-;-;1;0;L;1
09. Jun;KFC Uerdingen;1860 Munchen;1;3;Away win;+;+;+;4;+;-;-;1;0;L;1
09. Jun;Viktoria Koln;Meppen;1;3;Away win;+;+;+;4;+;-;-;1;2;V;1
10. Jun;Chemnitzer;FC Ingolstadt;0;1;Away win;-;-;-;1;-;-;+;0;1;V;1
10. Jun;Kaiserslautern;MSV Duisburg;1;3;Away win;+;+;+;4;+;-;-;1;2;V;1
10. Jun;Sonnenhof;Pr. Munster;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
10. Jun;Unterhaching;Braunschweig;1;3;Away win;+;+;+;4;+;-;-;1;3;L;1
10. Jun;Wurzburger K.;Carl Zeiss Jena;4;2;Home win;+;+;+;6;+;-;-;0;1;V;1
