Date;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;HTh;HTa;FG;sample
17. Jan;Leganes;Getafe;0;3;Away win;+;+;-;3;-;-;+;0;3;V;0
18. Jan;Eibar;Atletico Madrid;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
18. Jan;Levante;Alaves;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
18. Jan;Osasuna;Valladolid;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
18. Jan;Real Madrid;FC Sevilla;2;1;Home win;+;+;-;3;+;-;-;0;0;L;0
19. Jan;Athletic Bilbao;Celta Vigo;1;1;Draw;+;-;-;2;+;-;-;0;0;V;0
19. Jan;FC Barcelona;Granada;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
19. Jan;Mallorca;Valencia;4;1;Home win;+;+;+;5;+;-;-;3;0;L;0
19. Jan;Real Betis;Real Sociedad;3;0;Home win;+;+;-;3;-;+;-;2;0;L;0
19. Jan;Villarreal;Espanyol;1;2;Away win;+;+;-;3;+;-;-;0;1;V;0
24. Jan;Osasuna;Levante;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
