Team;AT;HT;Score;Date Range;Home Away;League;Season;Date;Table Name;0. Games;1. GS;1a WDL;1b WDL;1c Goals;1d Goals;2. GA;2a xG;2b xG;3. Pts;3a xG Against;3b xG Against;4. xG;4a Net xG;4b Net xG;5. xGA;5a Points;5b Points;6. Net xG;7. xG Pts;D;GAvsXg+ve;GAvsXg-ve;GD;GSvsXg+ve;GSvsXg-ve;L;Lower xG;Pts vs xG;Pts vs xG +ve;Pts vs xG -ve;RankCalc;Upper xG;W;x. +ve GD;x. -ve GD;x. GD vs NetXg+ve;x. GD vs NetXg-ve;ZN([D]);ZN([L]);ZN([W])
Brighton;Sheffield United;Brighton;0-1;Wahr;Home;English Premier League;2019/20;21.12.2019;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;0.5;1;1;1.1;1;1;-0.6;0;;+0.1;;-1;+0.5;;1;-0.36;0;+0;;-0.001;0.42;;;-1;+0.4;;0;1;0
Chelsea;Bournemouth;Chelsea;0-1;Wahr;Home;English Premier League;2019/20;14.12.2019;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;2.2;1;1;1.3;1;1;0.9;3;;+0.3;;-1;+2.2;;1;-0.36;3;+3;;-0.001;0.42;;;-1;+1.9;;0;1;0
Chelsea;West Ham;Chelsea;0-1;Wahr;Home;English Premier League;2019/20;30.11.2019;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;3.0;1;1;1.1;1;1;1.9;3;;+0.1;;-1;+3.0;;1;-0.36;3;+3;;-0.001;0.42;;;-1;+2.9;;0;1;0
Crystal Palace;Burnley;Crystal Palace;0-1;Wahr;Home;English Premier League;2019/20;29.06.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;1.2;1;1;0.4;1;1;0.8;3;;;-0.6;-1;+1.2;;1;-0.36;3;+3;;-0.001;0.42;;;-1;+1.8;;0;1;0
Crystal Palace;Sheffield United;Crystal Palace;0-1;Wahr;Home;English Premier League;2019/20;01.02.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;1.1;1;1;0.8;1;1;0.3;1;;;-0.2;-1;+1.1;;1;-0.36;1;+1;;-0.001;0.42;;;-1;+1.3;;0;1;0
Leicester;Man City;Leicester;0-1;Wahr;Home;English Premier League;2019/20;22.02.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;0.8;1;1;2.4;1;1;-1.6;0;;+1.4;;-1;+0.8;;1;-0.36;0;+0;;-0.001;0.42;;;-1;;-0.6;0;1;0
Newcastle;Arsenal;Newcastle;0-1;Wahr;Home;English Premier League;2019/20;11.08.2019;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;0.4;1;1;0.9;1;1;-0.5;0;;;-0.1;-1;+0.4;;1;-0.36;0;+0;;-0.001;0.42;;;-1;+0.5;;0;1;0
Norwich;Brighton;Norwich;0-1;Wahr;Home;English Premier League;2019/20;04.07.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;0.6;1;1;1.1;1;1;-0.5;0;;+0.1;;-1;+0.6;;1;-0.36;0;+0;;-0.001;0.42;;;-1;+0.5;;0;1;0
Norwich;Everton;Norwich;0-1;Wahr;Home;English Premier League;2019/20;24.06.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;0.5;1;1;0.7;1;1;-0.3;1;;;-0.3;-1;+0.5;;1;-0.36;1;+1;;-0.001;0.42;;;-1;+0.7;;0;1;0
Norwich;Liverpool;Norwich;0-1;Wahr;Home;English Premier League;2019/20;15.02.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;0.3;1;1;2.3;1;1;-2.1;0;;+1.3;;-1;+0.3;;1;-0.36;0;+0;;-0.001;0.42;;;-1;;-1.1;0;1;0
