Date;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;HTh;HTa;FG;sample
28. Feb;Ceske Budejov.;Banik Ostrava;0;2;Away win;+;-;-;2;-;-;+;0;1;V;0
29. Feb;Jablonec;Viktoria Plzen;1;2;Away win;+;+;-;3;+;-;-;0;2;V;0
29. Feb;Opava;Sigma Olomouc;2;1;Home win;+;+;-;3;+;-;-;2;0;L;0
29. Feb;Pribram;Mlada Boleslav;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
29. Feb;Sparta Prague;Zlin;2;2;Draw;+;+;+;4;+;-;-;0;0;L;0
1 Mar;Bohemians;Karvina;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
1 Mar;Slovacko;Slavia Prague;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
7 Mar;Sigma Olomouc;Jablonec;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
7 Mar;Viktoria Plzen;Ceske Budejov.;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
7 Mar;Zlin;Bohemians;2;3;Away win;+;+;+;5;+;-;-;1;2;V;0
8 Mar;Karvina;Pribram;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
8 Mar;Slavia Prague;Sparta Prague;1;1;Draw;+;-;-;2;+;-;-;0;0;V;0
8 Mar;Slovan Liberec;Opava;4;0;Home win;+;+;+;4;-;+;-;2;0;L;0
8 Mar;Teplice;Slovacko;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
9 Mar;Banik Ostrava;Mlada Boleslav;2;3;Away win;+;+;+;5;+;-;-;1;2;V;0
23 May;Teplice;Slovan Liberec;2;0;Home win;+;-;-;2;-;+;-;1;0;L;1
26 May;Jablonec;Zlin;1;0;Home win;-;-;-;1;-;+;-;1;0;L;1
26 May;Mlada Boleslav;Slavia Prague;0;1;Away win;-;-;-;1;-;-;+;0;1;V;1
26 May;Pribram;Banik Ostrava;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
26 May;Slovacko;Sigma Olomouc;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
27 May;Bohemians;Teplice;4;0;Home win;+;+;+;4;-;+;-;2;0;L;1
27 May;Ceske Budejov.;Slovan Liberec;0;1;Away win;-;-;-;1;-;-;+;0;0;V;1
27 May;Opava;Karvina;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
27 May;Sparta Prague;Viktoria Plzen;1;2;Away win;+;+;-;3;+;-;-;0;1;V;1
30 May;Sigma Olomouc;Pribram;1;2;Away win;+;+;-;3;+;-;-;1;1;L;1
30 May;Slavia Prague;Jablonec;5;0;Home win;+;+;+;5;-;+;-;2;0;L;1
30 May;Slovan Liberec;Slovacko;3;1;Home win;+;+;+;4;+;-;-;1;1;V;1
30 May;Viktoria Plzen;Mlada Boleslav;7;1;Home win;+;+;+;8;+;-;-;4;0;L;1
30 May;Zlin;Banik Ostrava;1;1;Draw;+;-;-;2;+;-;-;0;1;V;1
31 May;Bohemians;Ceske Budejov.;3;2;Home win;+;+;+;5;+;-;-;2;0;L;1
31 May;Karvina;Sparta Prague;1;4;Away win;+;+;+;5;+;-;-;1;0;L;1
31 May;Teplice;Opava;2;2;Draw;+;+;+;4;+;-;-;1;1;L;1
02. Jun;Jablonec;Slovan Liberec;0;1;Away win;-;-;-;1;-;-;+;0;0;V;1
02. Jun;Mlada Boleslav;Zlin;1;1;Draw;+;-;-;2;+;-;-;1;1;V;1
02. Jun;Pribram;Slavia Prague;0;1;Away win;-;-;-;1;-;-;+;0;0;V;1
03. Jun;Banik Ostrava;Viktoria Plzen;0;2;Away win;+;-;-;2;-;-;+;0;1;V;1
03. Jun;Ceske Budejov.;Sigma Olomouc;2;0;Home win;+;-;-;2;-;+;-;0;0;L;1
03. Jun;Opava;Bohemians;0;1;Away win;-;-;-;1;-;-;+;0;0;V;1
03. Jun;Slovacko;Karvina;2;0;Home win;+;-;-;2;-;+;-;2;0;L;1
03. Jun;Sparta Prague;Teplice;3;0;Home win;+;+;-;3;-;+;-;3;0;L;1
06. Jun;Bohemians;Sparta Prague;0;1;Away win;-;-;-;1;-;-;+;0;0;V;1
06. Jun;Slovan Liberec;Mlada Boleslav;2;2;Draw;+;+;+;4;+;-;-;1;1;V;1
06. Jun;Zlin;Pribram;1;0;Home win;-;-;-;1;-;+;-;1;0;L;1
07. Jun;Karvina;Ceske Budejov.;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
07. Jun;Opava;Slovacko;1;1;Draw;+;-;-;2;+;-;-;1;0;L;1
07. Jun;Sigma Olomouc;Banik Ostrava;2;3;Away win;+;+;+;5;+;-;-;1;3;V;1
07. Jun;Slavia Prague;Viktoria Plzen;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
07. Jun;Teplice;Jablonec;1;2;Away win;+;+;-;3;+;-;-;0;1;V;1
10. Jun;Banik Ostrava;Slavia Prague;2;2;Draw;+;+;+;4;+;-;-;1;1;V;1
10. Jun;Ceske Budejov.;Teplice;3;1;Home win;+;+;+;4;+;-;-;0;0;V;1
10. Jun;Jablonec;Karvina;1;0;Home win;-;-;-;1;-;+;-;0;0;L;1
10. Jun;Mlada Boleslav;Sigma Olomouc;0;2;Away win;+;-;-;2;-;-;+;0;1;V;1
10. Jun;Pribram;Slovan Liberec;2;1;Home win;+;+;-;3;+;-;-;2;1;L;1
10. Jun;Slovacko;Bohemians;1;2;Away win;+;+;-;3;+;-;-;1;2;V;1
10. Jun;Sparta Prague;Opava;2;0;Home win;+;-;-;2;-;+;-;1;0;L;1
10. Jun;Viktoria Plzen;Zlin;3;0;Home win;+;+;-;3;-;+;-;2;0;L;1
14. Jun;Bohemians;Jablonec;3;0;Home win;+;+;-;3;-;+;-;2;0;L;1
14. Jun;Karvina;Mlada Boleslav;2;2;Draw;+;+;+;4;+;-;-;2;1;L;1
14. Jun;Opava;Ceske Budejov.;2;0;Home win;+;-;-;2;-;+;-;0;0;L;1
14. Jun;Sigma Olomouc;Viktoria Plzen;0;1;Away win;-;-;-;1;-;-;+;0;1;V;1
14. Jun;Slavia Prague;Zlin;1;0;Home win;-;-;-;1;-;+;-;0;0;L;1
14. Jun;Slovacko;Sparta Prague;0;2;Away win;+;-;-;2;-;-;+;0;0;V;1
14. Jun;Slovan Liberec;Banik Ostrava;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
14. Jun;Teplice;Pribram;4;0;Home win;+;+;+;4;-;+;-;2;0;L;1
20. Jun;Banik Ostrava;Slavia Prague;1;3;Away win;+;+;+;4;+;-;-;0;2;V;1
20. Jun;Pribram;Sigma Olomouc;2;0;Home win;+;-;-;2;-;+;-;1;0;L;1
20. Jun;Sparta Prague;Slovan Liberec;4;1;Home win;+;+;+;5;+;-;-;2;1;L;1
20. Jun;Teplice;Karvina;4;1;Home win;+;+;+;5;+;-;-;2;0;L;1
20. Jun;Zlin;Opava;3;1;Home win;+;+;+;4;+;-;-;2;1;L;1
21. Jun;Mlada Boleslav;Ceske Budejov.;2;1;Home win;+;+;-;3;+;-;-;0;1;V;1
21. Jun;Slovacko;Bohemians;1;2;Away win;+;+;-;3;+;-;-;1;1;V;1
21. Jun;Viktoria Plzen;Jablonec;2;0;Home win;+;-;-;2;-;+;-;1;0;L;1
23. Jun;Karvina;Opava;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
23. Jun;Sigma Olomouc;Teplice;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
23. Jun;Sparta Prague;Banik Ostrava;3;2;Home win;+;+;+;5;+;-;-;3;1;V;1
23. Jun;Zlin;Pribram;1;0;Home win;-;-;-;1;-;+;-;0;0;L;1
24. Jun;Jablonec;Slovan Liberec;1;1;Draw;+;-;-;2;+;-;-;0;1;V;1
24. Jun;Slavia Prague;Viktoria Plzen;1;0;Home win;-;-;-;1;-;+;-;0;0;L;1
27. Jun;Bohemians;Slovacko;2;1;Home win;+;+;-;3;+;-;-;0;1;V;1
27. Jun;Ceske Budejov.;Mlada Boleslav;0;2;Away win;+;-;-;2;-;-;+;0;1;V;1
27. Jun;Slovan Liberec;Banik Ostrava;2;1;Home win;+;+;-;3;+;-;-;0;0;L;1
28. Jun;Opava;Pribram;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
28. Jun;Sigma Olomouc;Karvina;3;1;Home win;+;+;+;4;+;-;-;2;0;L;1
28. Jun;Slavia Prague;Jablonec;4;0;Home win;+;+;+;4;-;+;-;2;0;L;1
28. Jun;Teplice;Zlin;4;1;Home win;+;+;+;5;+;-;-;1;1;V;1
28. Jun;Viktoria Plzen;Sparta Prague;2;1;Home win;+;+;-;3;+;-;-;0;0;L;1
04. Jul;Mlada Boleslav;Bohemians;3;0;Home win;+;+;-;3;-;+;-;1;0;L;1
05. Jul;Banik Ostrava;Viktoria Plzen;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
05. Jul;Slovan Liberec;Slavia Prague;1;3;Away win;+;+;+;4;+;-;-;0;2;V;1
05. Jul;Sparta Prague;Jablonec;3;0;Home win;+;+;-;3;-;+;-;1;0;L;1
07. Jul;Bohemians;Mlada Boleslav;2;1;Home win;+;+;-;3;+;-;-;1;1;L;1
08. Jul;Jablonec;Banik Ostrava;1;1;Draw;+;-;-;2;+;-;-;1;0;L;1
08. Jul;Slavia Prague;Sparta Prague;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
08. Jul;Viktoria Plzen;Slovan Liberec;4;0;Home win;+;+;+;4;-;+;-;2;0;L;1
