Date;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;sample
05. Jan;Xanthi;AEL Larissa;2;1;Home win;+;+;-;3;+;-;-;0
11. Jan;AEL Larissa;Aris Thessalon.;0;0;Draw;-;-;-;0;-;+;+;0
11. Jan;Panaitolikos;Atromitos;0;1;Away win;-;-;-;1;-;-;+;0
11. Jan;Volos NFC;Xanthi;1;3;Away win;+;+;+;4;+;-;-;0
12. Jan;Ast. Tripolis;OFI Crete;2;0;Home win;+;-;-;2;-;+;-;0
12. Jan;Lamia;Olympiakos;0;4;Away win;+;+;+;4;-;-;+;0
12. Jan;Panathinaikos;Panionios;3;0;Home win;+;+;-;3;-;+;-;0
12. Jan;PAOK Saloniki;AEK Athens;1;0;Home win;-;-;-;1;-;+;-;0
18. Jan;Panaitolikos;Lamia;1;1;Draw;+;-;-;2;+;-;-;0
18. Jan;Panionios;OFI Crete;1;2;Away win;+;+;-;3;+;-;-;0
19. Jan;AEK Athens;AEL Larissa;3;0;Home win;+;+;-;3;-;+;-;0
19. Jan;Atromitos;Volos NFC;0;0;Draw;-;-;-;0;-;+;+;0
19. Jan;Olympiakos;Aris Thessalon.;4;2;Home win;+;+;+;6;+;-;-;0
19. Jan;PAOK Saloniki;Ast. Tripolis;3;1;Home win;+;+;+;4;+;-;-;0
19. Jan;Xanthi;Panathinaikos;0;1;Away win;-;-;-;1;-;-;+;0
22. Jan;AEL Larissa;Panaitolikos;2;2;Draw;+;+;+;4;+;-;-;0
22. Jan;OFI Crete;Olympiakos;0;1;Away win;-;-;-;1;-;-;+;0
22. Jan;Panathinaikos;Atromitos;3;0;Home win;+;+;-;3;-;+;-;0
22. Jan;Volos NFC;AEK Athens;1;3;Away win;+;+;+;4;+;-;-;0
23. Jan;Aris Thessalon.;Xanthi;1;0;Home win;-;-;-;1;-;+;-;0
23. Jan;Ast. Tripolis;Panionios;2;0;Home win;+;-;-;2;-;+;-;0
23. Jan;Lamia;PAOK Saloniki;0;1;Away win;-;-;-;1;-;-;+;0
25. Jan;AEL Larissa;Panathinaikos;0;2;Away win;+;-;-;2;-;-;+;0
26. Jan;AEK Athens;Olympiakos;0;0;Draw;-;-;-;0;-;+;+;0
26. Jan;Panaitolikos;Aris Thessalon.;2;0;Home win;+;-;-;2;-;+;-;0
26. Jan;Panionios;Atromitos;1;0;Home win;-;-;-;1;-;+;-;0
26. Jan;Xanthi;OFI Crete;2;2;Draw;+;+;+;4;+;-;-;0
27. Jan;Lamia;Ast. Tripolis;1;1;Draw;+;-;-;2;+;-;-;0
27. Jan;PAOK Saloniki;Volos NFC;1;0;Home win;-;-;-;1;-;+;-;0
01. Feb;OFI Crete;AEL Larissa;0;0;Draw;-;-;-;0;-;+;+;0
01. Feb;Olympiakos;Xanthi;3;1;Home win;+;+;+;4;+;-;-;0
01. Feb;Volos NFC;Lamia;1;0;Home win;-;-;-;1;-;+;-;0
02. Feb;Aris Thessalon.;Panionios;2;0;Home win;+;-;-;2;-;+;-;0
02. Feb;Ast. Tripolis;Panaitolikos;2;1;Home win;+;+;-;3;+;-;-;0
02. Feb;Atromitos;AEK Athens;0;1;Away win;-;-;-;1;-;-;+;0
02. Feb;Panathinaikos;PAOK Saloniki;2;0;Home win;+;-;-;2;-;+;-;0
08. Feb;Lamia;AEL Larissa;0;0;Draw;-;-;-;0;-;+;+;0
08. Feb;Panionios;Xanthi;0;0;Draw;-;-;-;0;-;+;+;0
09. Feb;AEK Athens;Panathinaikos;1;0;Home win;-;-;-;1;-;+;-;0
09. Feb;Ast. Tripolis;Aris Thessalon.;1;1;Draw;+;-;-;2;+;-;-;0
09. Feb;Atromitos;Olympiakos;0;1;Away win;-;-;-;1;-;-;+;0
09. Feb;PAOK Saloniki;OFI Crete;4;0;Home win;+;+;+;4;-;+;-;0
10. Feb;Panaitolikos;Volos NFC;1;1;Draw;+;-;-;2;+;-;-;0
15. Feb;AEL Larissa;PAOK Saloniki;1;2;Away win;+;+;-;3;+;-;-;0
15. Feb;Olympiakos;Panionios;4;0;Home win;+;+;+;4;-;+;-;0
16. Feb;Aris Thessalon.;AEK Athens;0;1;Away win;-;-;-;1;-;-;+;0
16. Feb;Panathinaikos;Panaitolikos;3;1;Home win;+;+;+;4;+;-;-;0
16. Feb;Volos NFC;Ast. Tripolis;0;1;Away win;-;-;-;1;-;-;+;0
16. Feb;Xanthi;Lamia;0;0;Draw;-;-;-;0;-;+;+;0
17. Feb;OFI Crete;Atromitos;1;0;Home win;-;-;-;1;-;+;-;0
22. Feb;Ast. Tripolis;Panathinaikos;1;1;Draw;+;-;-;2;+;-;-;0
22. Feb;Lamia;Aris Thessalon.;2;2;Draw;+;+;+;4;+;-;-;0
23. Feb;AEK Athens;OFI Crete;3;0;Home win;+;+;-;3;-;+;-;0
23. Feb;Atromitos;Xanthi;1;0;Home win;-;-;-;1;-;+;-;0
23. Feb;Panaitolikos;Panionios;1;0;Home win;-;-;-;1;-;+;-;0
23. Feb;PAOK Saloniki;Olympiakos;0;1;Away win;-;-;-;1;-;-;+;0
23. Feb;Volos NFC;AEL Larissa;0;0;Draw;-;-;-;0;-;+;+;0
1 Mar;AEL Larissa;Ast. Tripolis;3;0;Home win;+;+;-;3;-;+;-;0
1 Mar;Aris Thessalon.;Atromitos;1;2;Away win;+;+;-;3;+;-;-;0
1 Mar;OFI Crete;Lamia;3;0;Home win;+;+;-;3;-;+;-;0
1 Mar;Olympiakos;Panaitolikos;2;0;Home win;+;-;-;2;-;+;-;0
1 Mar;Panathinaikos;Volos NFC;4;1;Home win;+;+;+;5;+;-;-;0
1 Mar;Panionios;AEK Athens;1;1;Draw;+;-;-;2;+;-;-;0
1 Mar;Xanthi;PAOK Saloniki;1;1;Draw;+;-;-;2;+;-;-;0
06. Jun;Aris Thessalon.;OFI Crete;3;1;Home win;+;+;+;4;+;-;-;1
06. Jun;Panionios;Volos NFC;1;0;Home win;-;-;-;1;-;+;-;1
07. Jun;AEK Athens;Panathinaikos;1;1;Draw;+;-;-;2;+;-;-;1
07. Jun;AEL Larissa;Ast. Tripolis;1;2;Away win;+;+;-;3;+;-;-;1
