Date;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;HTh;HTa;FG;sample
02. Nov;Sturm Graz;Wolfsberger AC;0;4;Away win;+;+;+;4;-;-;+;0;3;V;0
03. Nov;Admira;Hartberg;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
03. Nov;LASK Linz;Austria Wien;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
03. Nov;WSG Tirol;Altach;0;4;Away win;+;+;+;4;-;-;+;0;1;V;0
09. Nov;Altach;Rapid Wien;0;3;Away win;+;+;-;3;-;-;+;0;3;V;0
09. Nov;St. Poelten;WSG Tirol;5;1;Home win;+;+;+;6;+;-;-;3;1;L;0
09. Nov;Sturm Graz;Hartberg;3;1;Home win;+;+;+;4;+;-;-;0;0;L;0
10. Nov;Austria Wien;Mattersburg;2;1;Home win;+;+;-;3;+;-;-;1;0;L;0
10. Nov;LASK Linz;Admira;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
10. Nov;Wolfsberger AC;Salzburg;0;3;Away win;+;+;-;3;-;-;+;0;1;V;0
23. Nov;Mattersburg;Wolfsberger AC;1;4;Away win;+;+;+;5;+;-;-;0;2;V;0
23. Nov;Salzburg;St. Poelten;2;2;Draw;+;+;+;4;+;-;-;2;1;L;0
23. Nov;WSG Tirol;LASK Linz;0;2;Away win;+;-;-;2;-;-;+;0;0;V;0
24. Nov;Admira;Austria Wien;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
24. Nov;Hartberg;Altach;2;1;Home win;+;+;-;3;+;-;-;1;1;V;0
24. Nov;Rapid Wien;Sturm Graz;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
30. Nov;Austria Wien;Hartberg;5;0;Home win;+;+;+;5;-;+;-;3;0;L;0
30. Nov;St. Poelten;Mattersburg;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
30. Nov;WSG Tirol;Sturm Graz;1;5;Away win;+;+;+;6;+;-;-;0;2;V;0
1 Dec;Admira;Salzburg;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
1 Dec;Altach;Wolfsberger AC;2;1;Home win;+;+;-;3;+;-;-;2;0;L;0
1 Dec;LASK Linz;Rapid Wien;0;4;Away win;+;+;+;4;-;-;+;0;1;V;0
7 Dec;Hartberg;St. Poelten;3;2;Home win;+;+;+;5;+;-;-;2;0;L;0
7 Dec;Salzburg;WSG Tirol;5;1;Home win;+;+;+;6;+;-;-;3;0;L;0
7 Dec;Wolfsberger AC;LASK Linz;1;3;Away win;+;+;+;4;+;-;-;0;2;V;0
8 Dec;Mattersburg;Admira;1;2;Away win;+;+;-;3;+;-;-;0;0;L;0
8 Dec;Rapid Wien;Austria Wien;2;2;Draw;+;+;+;4;+;-;-;1;2;V;0
8 Dec;Sturm Graz;Altach;1;2;Away win;+;+;-;3;+;-;-;1;0;L;0
14 Dec;Admira;Rapid Wien;0;3;Away win;+;+;-;3;-;-;+;0;2;V;0
14 Dec;Hartberg;Salzburg;2;2;Draw;+;+;+;4;+;-;-;1;1;L;0
14 Dec;St. Poelten;Altach;0;3;Away win;+;+;-;3;-;-;+;0;0;V;0
15 Dec;Austria Wien;Wolfsberger AC;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
15 Dec;LASK Linz;Sturm Graz;3;3;Draw;+;+;+;6;+;-;-;2;3;V;0
15 Dec;WSG Tirol;Mattersburg;1;3;Away win;+;+;+;4;+;-;-;0;1;V;0
14. Feb;Salzburg;LASK Linz;2;3;Away win;+;+;+;5;+;-;-;1;2;V;0
15. Feb;Altach;Austria Wien;2;2;Draw;+;+;+;4;+;-;-;2;1;L;0
15. Feb;Wolfsberger AC;Hartberg;3;0;Home win;+;+;-;3;-;+;-;0;0;L;0
16. Feb;Rapid Wien;WSG Tirol;2;0;Home win;+;-;-;2;-;+;-;2;0;L;0
16. Feb;St. Poelten;Admira;2;2;Draw;+;+;+;4;+;-;-;0;0;L;0
16. Feb;Sturm Graz;Mattersburg;1;2;Away win;+;+;-;3;+;-;-;0;2;V;0
22. Feb;Admira;Sturm Graz;0;2;Away win;+;-;-;2;-;-;+;0;1;V;0
22. Feb;Mattersburg;Altach;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
22. Feb;WSG Tirol;Wolfsberger AC;2;0;Home win;+;-;-;2;-;+;-;2;0;L;0
23. Feb;Austria Wien;Salzburg;2;2;Draw;+;+;+;4;+;-;-;0;1;V;0
23. Feb;Hartberg;Rapid Wien;2;2;Draw;+;+;+;4;+;-;-;1;1;V;0
