Date;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;HTh;HTa;FG;sample
04. Nov;Slask Wroclaw;Wisla Plock;3;1;Home win;+;+;+;4;+;-;-;2;0;L;0
08. Nov;LKS Lodz;Slask Wroclaw;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
08. Nov;Piast Gliwice;Jagiellonia;3;1;Home win;+;+;+;4;+;-;-;2;0;L;0
09. Nov;Legia Warsaw;Gornik Zabrze;5;1;Home win;+;+;+;6;+;-;-;1;0;L;0
09. Nov;Wisla Krakow;Arka Gdynia;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
09. Nov;Wisla Plock;KS Cracovia;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
10. Nov;Lech Poznan;Korona Kielce;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
10. Nov;Lechia Gdansk;Pogon Szczecin;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
10. Nov;Zaglebie Lubin;Rakow Czest.;2;2;Draw;+;+;+;4;+;-;-;2;1;L;0
22. Nov;Gornik Zabrze;Wisla Plock;2;2;Draw;+;+;+;4;+;-;-;1;2;L;0
22. Nov;Lech Poznan;Piast Gliwice;3;0;Home win;+;+;-;3;-;+;-;1;0;L;0
23. Nov;Korona Kielce;Rakow Czest.;3;0;Home win;+;+;-;3;-;+;-;2;0;L;0
23. Nov;Lechia Gdansk;LKS Lodz;3;1;Home win;+;+;+;4;+;-;-;2;1;V;0
23. Nov;Pogon Szczecin;Legia Warsaw;3;1;Home win;+;+;+;4;+;-;-;1;0;L;0
24. Nov;Jagiellonia;Arka Gdynia;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
24. Nov;Slask Wroclaw;Wisla Krakow;2;1;Home win;+;+;-;3;+;-;-;1;1;V;0
25. Nov;KS Cracovia;Zaglebie Lubin;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
29. Nov;Wisla Plock;Lech Poznan;0;2;Away win;+;-;-;2;-;-;+;0;1;V;0
29. Nov;Zaglebie Lubin;Gornik Zabrze;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
30. Nov;Arka Gdynia;Pogon Szczecin;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
30. Nov;Legia Warsaw;Korona Kielce;4;0;Home win;+;+;+;4;-;+;-;2;0;L;0
30. Nov;Piast Gliwice;Slask Wroclaw;0;3;Away win;+;+;-;3;-;-;+;0;0;V;0
1 Dec;LKS Lodz;KS Cracovia;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
1 Dec;Rakow Czest.;Jagiellonia;2;1;Home win;+;+;-;3;+;-;-;0;1;V;0
1 Dec;Wisla Krakow;Lechia Gdansk;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
6 Dec;Gornik Zabrze;Wisla Krakow;4;2;Home win;+;+;+;6;+;-;-;0;1;V;0
6 Dec;Korona Kielce;Arka Gdynia;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
7 Dec;Jagiellonia;Zaglebie Lubin;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
7 Dec;Lech Poznan;LKS Lodz;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
7 Dec;Lechia Gdansk;Wisla Plock;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
8 Dec;KS Cracovia;Rakow Czest.;3;0;Home win;+;+;-;3;-;+;-;0;0;L;0
8 Dec;Pogon Szczecin;Piast Gliwice;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
8 Dec;Slask Wroclaw;Legia Warsaw;0;3;Away win;+;+;-;3;-;-;+;0;1;V;0
13 Dec;Arka Gdynia;Zaglebie Lubin;2;1;Home win;+;+;-;3;+;-;-;1;1;L;0
13 Dec;Wisla Krakow;Pogon Szczecin;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
14 Dec;Legia Warsaw;Wisla Plock;3;1;Home win;+;+;+;4;+;-;-;2;1;L;0
14 Dec;Rakow Czest.;Gornik Zabrze;2;1;Home win;+;+;-;3;+;-;-;1;1;V;0
14 Dec;Slask Wroclaw;Lech Poznan;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
15 Dec;Jagiellonia;Lechia Gdansk;3;0;Home win;+;+;-;3;-;+;-;1;0;L;0
15 Dec;Korona Kielce;KS Cracovia;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
15 Dec;Piast Gliwice;LKS Lodz;2;1;Home win;+;+;-;3;+;-;-;0;1;V;0
19 Dec;Lech Poznan;Arka Gdynia;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
19 Dec;LKS Lodz;Wisla Krakow;2;4;Away win;+;+;+;6;+;-;-;1;3;V;0
20 Dec;KS Cracovia;Slask Wroclaw;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
20 Dec;Pogon Szczecin;Korona Kielce;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
20 Dec;Zaglebie Lubin;Legia Warsaw;2;1;Home win;+;+;-;3;+;-;-;0;1;V;0
21 Dec;Gornik Zabrze;Jagiellonia;3;0;Home win;+;+;-;3;-;+;-;1;0;L;0
21 Dec;Lechia Gdansk;Rakow Czest.;0;3;Away win;+;+;-;3;-;-;+;0;0;V;0
21 Dec;Wisla Plock;Piast Gliwice;2;1;Home win;+;+;-;3;+;-;-;1;1;L;0
07. Feb;Arka Gdynia;KS Cracovia;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
07. Feb;Slask Wroclaw;Lechia Gdansk;2;2;Draw;+;+;+;4;+;-;-;0;1;V;0
08. Feb;Korona Kielce;Gornik Zabrze;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
08. Feb;Lech Poznan;Rakow Czest.;3;0;Home win;+;+;-;3;-;+;-;0;0;L;0
08. Feb;Wisla Krakow;Jagiellonia;3;0;Home win;+;+;-;3;-;+;-;1;0;L;0
09. Feb;Legia Warsaw;LKS Lodz;3;1;Home win;+;+;+;4;+;-;-;0;0;V;0
09. Feb;Piast Gliwice;Zaglebie Lubin;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
09. Feb;Wisla Plock;Pogon Szczecin;2;3;Away win;+;+;+;5;+;-;-;1;0;L;0
14. Feb;Gornik Zabrze;Arka Gdynia;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
14. Feb;Lechia Gdansk;Piast Gliwice;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
15. Feb;LKS Lodz;Wisla Plock;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
15. Feb;Pogon Szczecin;Slask Wroclaw;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
15. Feb;Rakow Czest.;Legia Warsaw;2;2;Draw;+;+;+;4;+;-;-;1;0;L;0
16. Feb;Jagiellonia;Korona Kielce;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
16. Feb;KS Cracovia;Lech Poznan;2;1;Home win;+;+;-;3;+;-;-;0;1;V;0
16. Feb;Zaglebie Lubin;Wisla Krakow;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
21. Feb;LKS Lodz;Pogon Szczecin;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
21. Feb;Slask Wroclaw;Gornik Zabrze;2;1;Home win;+;+;-;3;+;-;-;2;0;L;0
22. Feb;Arka Gdynia;Rakow Czest.;3;2;Home win;+;+;+;5;+;-;-;0;2;V;0
22. Feb;Legia Warsaw;Jagiellonia;4;0;Home win;+;+;+;4;-;+;-;2;0;L;0
22. Feb;Piast Gliwice;KS Cracovia;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
23. Feb;Lech Poznan;Lechia Gdansk;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
23. Feb;Wisla Krakow;Korona Kielce;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
23. Feb;Wisla Plock;Zaglebie Lubin;1;1;Draw;+;-;-;2;+;-;-;0;0;V;0
28. Feb;Jagiellonia;Lech Poznan;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
28. Feb;Rakow Czest.;Piast Gliwice;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
29. Feb;Gornik Zabrze;Pogon Szczecin;3;1;Home win;+;+;+;4;+;-;-;2;0;L;0
29. Feb;Legia Warsaw;KS Cracovia;2;1;Home win;+;+;-;3;+;-;-;2;0;L;0
29. Feb;Wisla Krakow;Wisla Plock;2;2;Draw;+;+;+;4;+;-;-;1;1;L;0
1 Mar;Arka Gdynia;LKS Lodz;1;1;Draw;+;-;-;2;+;-;-;0;0;L;0
